profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,power
baseline,head_screening,llama3_8b,,6.0,17.0,,,screened_vs_baseline,politeness.SOMEWHAT_POLITE,True,50,50,50,0.047572299967869186,0.04804090740653919,0.1619071764882103,0.16156198849747852,0.00046860743867000566,0.1112640471659423,-0.00047369265891029504,0.0017927642688446211,-0.2501678807800112,0.2953259965873015,0.7867556225329767,0.43521369785649355,1.0,0.510279306634724,False,False,0.12046376425591139
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.admiration,True,50,50,50,0.10503016049740836,0.10142148638871731,0.25393315113435955,0.2543881172810727,-0.003608674108691048,-0.20889867085709043,-0.008949315922975074,-0.00021427419439714923,-0.3562499056014593,-0.14519605099343438,-1.4771366674390523,0.14603780236661182,1.0,0.46036217696660237,False,False,0.30474695412640196
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.amusement,True,50,50,50,0.0009085290420625824,0.0009301199289620854,0.0011472501356877272,0.0011068273649835136,2.1590886899502947e-05,0.07916552861600441,-3.9124657774664225e-05,0.00010863996928674165,-0.24751597982695042,0.2683377631746641,0.559784821205944,0.5781763826343694,1.0,0.6802075089816111,False,False,0.08516727018039137
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.anger,True,50,50,50,0.0005387219604745041,0.000497123953391565,0.00037526690717715183,0.0002397788040861261,-4.1598007082939145e-05,-0.13834130020649496,-0.00013255360000766813,8.73038719873875e-06,-0.2741492381561679,0.2895320351891198,-0.9782207149417651,0.3327703021746564,1.0,0.7564133043793292,False,False,0.16021070877626495
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.annoyance,True,50,50,50,0.0033374448865652086,0.002476468301611021,0.0066836592247716,0.0018273468434968233,-0.0008609765849541873,-0.13669525203304228,-0.002699345626606373,0.00011196350227692163,-0.2757261605858112,0.2460669252409395,-0.9665813966856838,0.33849998961808003,1.0,0.6496563742783827,False,False,0.15753294204733376
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.approval,True,50,50,50,0.15879379065241664,0.14960570660885422,0.2477937236688774,0.24639777083924216,-0.009188084043562411,-0.1502747506108426,-0.028827496081590652,0.0027323912056162925,-0.3121216652606643,0.13082916074594667,-1.0626029519804407,0.2931711075708366,1.0,0.589243256892417,False,False,0.18062512790968402
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.caring,True,50,50,50,0.0043130236201250225,0.004413611725103692,0.0070028708424682935,0.007073246030664868,0.00010058810497866944,0.03832070145650596,-0.0005132754273363389,0.0009336388216615887,-0.2691275183952743,0.23665480458913804,0.27096827859720574,0.7875536617595297,1.0,0.9424157728133307,False,False,0.05812580926632717
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.confusion,True,50,50,50,0.15264901182235918,0.16743384180095744,0.28827882883236283,0.3011593666692635,0.014784829978598282,0.18090572271310618,0.00014815699351311196,0.03935705334681551,0.13033937179648894,0.3139624261482578,1.2791966328589062,0.2068524735659354,1.0,0.4775440112792847,False,False,0.2408209632820361
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.curiosity,True,50,50,50,0.12226329885801533,0.10163078247293016,0.22666996661772132,0.19910949676555637,-0.020632516385085183,-0.2612219024024183,-0.04683709012692634,-0.0012788411188521423,-0.40426782416411483,-0.14212235395880848,-1.8471177858320047,0.0707726453712368,1.0,0.3063897765069673,False,False,0.44082892580721145
baseline,head_screening,llama3_8b,,6.0,18.0,,,screened_vs_baseline,goemotions.desire,True,50,50,50,0.0029335424394957956,0.0028383779509022133,0.005212690853048032,0.005222115197324073,-9.516448859358207e-05,-0.19187630731272032,-0.0002494674367917469,5.180279833439231e-06,-0.34980914307119587,0.030141651496544724,-1.356770380498585,0.18107216870363238,1.0,0.3063687356120706,False,False,0.2649391320669638
