profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.annoyance,True,8,8,8,0.001928338264406193,0.0023824965028325096,0.0010748477826982223,0.000593015074821121,0.00045415823842631653,0.43248390310502016,-0.00019048001522605773,0.0011138007592307985,-0.3129197047935191,1.3801626521885921,1.2232492025583424,0.2608128723886383,1.0,0.7090388796617874,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.approval,True,8,8,8,0.46373256473452784,0.053204954019747674,0.4131610945794681,0.10639309578736454,-0.41052761071478017,-1.1200791447446137,-0.6471474092330027,-0.17026139938316195,-2.272358314435413,-0.567379830711695,-3.16806223485818,0.015750312319784385,0.14175281087805947,0.05172016110403763,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.caring,True,8,8,8,0.005264307302240923,0.007637546979822218,0.012513871690237063,0.0033130354270699356,0.002373239677581296,0.20003655474421017,-0.006461704043249483,0.007899030204930563,-0.39744512079121996,4.168800847262324,0.5657888173793002,0.5892056477798711,1.0,0.5892056477798711,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.confusion,True,8,8,8,0.0354616830481973,0.010538747301325202,0.07167796062849481,0.016997728291085885,-0.0249229357468721,-0.4433530564752712,-0.06493250815083229,0.0009271369349335139,-0.8528584693388773,1.5859488048978005,-1.2539918107737864,0.25009818782838955,1.0,0.3402960631229588,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.curiosity,True,8,8,8,0.09016017074554838,0.05320090290479129,0.18810322006017616,0.10678396280175777,-0.03695926784075709,-0.45323880163654906,-0.09438685823317883,0.0007776475155651491,-0.9294411534656687,2.088236160353257,-1.2819529205362732,0.24068190089274097,1.0,0.5251281180681203,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.desire,True,8,8,8,0.0006491475460279617,0.0013096447073621675,0.00034529231696486524,0.00017363058435854482,0.0006604971613342059,2.134070950428332,0.0004707807000158937,0.000870091032379605,1.5749773009087837,4.043265353979498,6.036064162324377,0.0005231433363142904,0.004708290026828614,0.004708290026828614,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.disappointment,True,8,8,8,0.0005324597768776584,0.004898208018857986,0.0002753691811586427,0.0011952402832977262,0.004365748241980327,3.854098142770877,0.003556372845196165,0.005040557390475442,2.555557342093202,10.418928970946375,10.901035728447063,1.2081510004708724e-05,0.00010873359004237851,0.00010873359004237851,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.disapproval,True,8,8,8,0.0017230225457751658,0.005028440325986594,0.0015636357747381149,0.0018503455978404388,0.003305417780211428,1.5478853739338168,0.002106947879201471,0.004826329065599565,1.1665928188435377,5.167320045688456,4.378080977632306,0.0032420235723403306,0.029178212151062977,0.014589106075531488,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.disgust,True,8,8,8,0.00027731171758205164,0.0009483595713390969,0.00012055183924044796,0.00023685693443763528,0.0006710478537570452,2.862340740221972,0.0005288481388561195,0.0008352435999768201,2.1261031346195938,6.646804280807635,8.095922189909913,8.446304395009997e-05,0.0007601673955508997,0.00038008369777544986,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.embarrassment,True,8,8,8,0.0001438751259001947,0.004188954873825423,0.00012404635574535385,0.0012733633759172466,0.004045079747925229,3.2080716016950617,0.003197844139612016,0.004832405513707272,2.185686716378314,7.344697782191864,9.073796736362269,4.044918697911828e-05,0.00036404268281206456,0.00018202134140603228,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.excitement,True,8,8,8,0.0015852488340897253,0.0004468329389055725,0.0014544399882726764,0.0002190763900314478,-0.0011384158951841528,-0.823578857962293,-0.0020662971754973115,-0.0002923325492702137,-1.697864415815682,-0.38015044466037995,-2.3294327812280393,0.052657862777042846,0.47392076499338565,0.09857759724454025,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.fear,True,8,8,8,0.00024632988061057404,0.0005544211089727469,0.0001642476429930197,0.0002476777578526011,0.00030809122836217284,1.8469029720137418,0.00020588122345088777,0.0004160318429967446,1.2250214511464463,3.4884881117133535,5.223830462818021,0.0012206695381194385,0.010986025843074947,0.005493012921537473,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.gratitude,True,8,8,8,0.0015225790230033454,0.003590723092202097,0.0017191184952636649,0.0011070806618387623,0.002068144069198752,1.2937999355961576,0.001092175518078875,0.0031300343735892965,0.7685620305694654,3.293876851195537,3.6594188318350462,0.008076531404531113,0.07268878264078002,0.03634439132039001,False,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.grief,True,8,8,8,0.00013200941361901641,0.001313586297328584,0.0001625793053544146,0.00024136983800687167,0.0011815768837095675,5.102064155473257,0.0010456805972694383,0.0013517741930684224,4.032648309205292,13.01519493075348,14.430816649535824,1.8283264828467916e-06,1.6454938345621123e-05,8.227469172810561e-06,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.joy,True,8,8,8,0.023898193373497634,0.0008704283318365924,0.06495364586830611,0.00026291301669982683,-0.02302776504166104,-0.35514871759526684,-0.06906648961164592,0.00030194801820471173,-0.7278848184700538,1.2962655492820314,-1.0045122661652772,0.34858464532821054,1.0,0.36488711507473365,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.love,True,8,8,8,0.0011642337158264127,0.002121244920999743,0.0016650823067403397,0.001201475804061464,0.0009570112051733304,0.48861269813773506,-0.0004169198030467669,0.0022908454077878553,-0.18923689090159687,10.662831958514618,1.3820054089081923,0.20946096522295932,1.0,0.3930688754787164,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.nervousness,True,8,8,8,0.00018266111976572574,0.00081297920041834,0.00020615077972123053,0.0004896761540340126,0.0006303180806526143,1.2810613854105677,0.0003399722365401203,0.0009665747921985711,0.844371854296274,2.7453409601192598,3.6233887709601826,0.008471940995369067,0.0762474689583216,0.0381237344791608,False,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.neutral,True,8,8,8,0.34262996003963053,0.025036197155714035,0.3379809357774738,0.011006702601165347,-0.3175937628839165,-0.9398741858648815,-0.5411910168739269,-0.11969507798785346,-1.850063987395251,-0.5986563037259292,-2.6583656411489733,0.03254420103361086,0.29289780930249776,0.29289780930249776,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.optimism,True,8,8,8,0.004807472807442537,0.002916254787123762,0.0038727123917282904,0.0013072237772565444,-0.0018912180203187745,-0.5094587422145086,-0.0043645651814586016,0.0003095378714533558,-1.415781201449678,0.18789346586192532,-1.4409669254185933,0.19278741571283212,1.0,0.4337716853538723,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.pride,True,8,8,8,0.0006603417848509707,0.00030812928707746323,0.0009801477187242763,0.00020034969719806334,-0.0003522124977735075,-0.38563580617045284,-0.0009982858059458977,0.0001413808974916717,-0.9281460691273877,0.8314273332349161,-1.090742774445873,0.3115018452843823,1.0,0.4005023725084915,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.realization,True,8,8,8,0.005396532538725296,0.005932091356953606,0.003027058992240171,0.0035130544376416467,0.00053555881822831,0.12996270353548814,-0.001870976051668549,0.003332043006230376,-0.9389536425535245,0.756501112262377,0.36759003588512223,0.7240414191014186,1.0,0.8145465964890959,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.relief,True,8,8,8,0.002632184592471276,0.0009315852330473717,0.006000879180407587,0.0005246634463808979,-0.0017005993594239044,-0.2935222697903602,-0.005849497021861794,0.0006588302709587877,-0.7034655267658728,2.4911831942269673,-0.8302063495921241,0.433819734786706,1.0,0.543613180732973,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.remorse,True,8,8,8,0.00015028632276425924,0.7656538560986519,0.00013442947411750815,0.1458834734558754,0.7655035697758876,5.247393826887657,0.6656728935474205,0.8532725174325521,4.101177784131551,21.94367415519827,14.841871034194762,1.5103354358968788e-06,1.3593018923071909e-05,1.3593018923071909e-05,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.sadness,True,8,8,8,0.0003910125169568346,0.04192957654595375,0.00046378089073952035,0.00855132094659118,0.041538564028996916,4.949382762166656,0.035747145471304975,0.04689286110055946,3.7856328640525985,11.769686914209206,13.998968455263393,2.2473255618236696e-06,2.0225930056413025e-05,2.0225930056413025e-05,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,goemotions.surprise,True,8,8,8,0.0008401477928146051,0.00041463425077381544,0.001372968211459294,0.00038701768757416516,-0.0004255135420407896,-0.4001011091406605,-0.0011944473205119266,1.5747495382356623e-05,-1.1362609251012397,0.12493928596657353,-1.13165682973448,0.2950522346101019,1.0,0.5943278773352318,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,politeness.NEUTRAL,True,8,8,8,0.9913842007517815,0.09580111462128116,0.02197492701198691,0.17737807951155832,-0.8955830861305003,-5.145195255883254,-0.9762580327233081,-0.7654429109825287,-31.75465389412048,-3.0518928752535777,-14.552809823855608,1.7266185772220074e-06,1.5539567194998066e-05,1.5539567194998066e-05,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,politeness.NOT_POLITE,True,8,8,8,0.0003082569583057193,0.12323097633634461,0.00018476471735516366,0.2594304283262495,0.12292271937803889,0.4737189020338902,0.017345304590480736,0.3126293518066632,0.41025253394062966,1.5477489276395793,1.3398793920176384,0.22214500183877117,1.0,0.3756606389338532,False,False
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,politeness.POLITE,True,8,8,8,0.00019136272931064013,0.6766643952578306,0.00012631626953415884,0.39106739996837764,0.67647303252852,1.7299745815020326,0.4166419739860885,0.9264112711625785,0.9389414164228242,7.738043562903626,4.8931070314417875,0.0017669660692042721,0.01590269462283845,0.01590269462283845,True,True
baseline,residual,gpt2_small,apology,6.0,,,0.8,patched_vs_neutral,politeness.SOMEWHAT_POLITE,True,8,8,8,0.008116191555018304,0.10430351097602397,0.02168555220287502,0.1269602493683818,0.09618731942100567,0.7170269181169384,0.019987582908106562,0.19068884951120707,0.30658302224498146,1.418244801438421,2.028058384375114,0.08214778980054492,0.7393301082049043,0.36966505410245215,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.admiration,True,225,225,225,0.05183734038773562,0.04392231305336786,0.17814661556530073,0.156252008029313,-0.007915027334367752,-0.07568186403340463,-0.023205978938423667,0.003970209894077722,-0.1648370446439273,0.0711073719059508,-1.1352279605010693,0.2574930596518837,1.0,0.29710737652140423,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.amusement,True,225,225,225,0.0008131080725838223,0.0007728155273879464,0.0011774548828802519,0.0011324332734110084,-4.02925451958759e-05,-0.10561293170881446,-9.06131423916021e-05,8.71321674154989e-06,-0.22218602547496266,0.026386507790919552,-1.5841939756322165,0.11456034948684507,1.0,0.3461753691318918,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.anger,True,225,225,225,0.0004917207049180029,0.0005029161985375039,0.00036101762512219944,0.0003731603898307923,1.119549361950097e-05,0.1290648955190236,1.1347980398568324e-06,2.2493589800837465e-05,0.0070621871437601385,0.23199614464493437,1.9359734327853542,0.05412932149330776,0.8119398223996164,0.2029849555999041,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.annoyance,True,225,225,225,0.002956078709361868,0.0033295358744605133,0.005740969389973565,0.006972093500059748,0.00037345716509864564,0.13077667182077887,5.2118478350975134e-05,0.0008031318034304096,0.0668754043509222,0.1895282431096472,1.9616500773116836,0.05104192462394407,0.7656288693591611,0.1531257738718322,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.approval,True,225,225,225,0.14604575032730482,0.15470766335518824,0.2570764243577612,0.26430301098869247,0.008661913027883404,0.09625758709644086,-0.0020098438905810727,0.020506074069895654,-0.03941999492537917,0.20797581727096381,1.4438638064466127,0.150174440506025,1.0,0.173278200583875,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.caring,True,225,225,225,0.0138180558407718,0.014204048734973185,0.07550943675645864,0.07548223583479004,0.00038599289420138426,0.2103356872245874,0.00016359553534857696,0.0006263527163739327,0.10565074528428697,0.29563172598443066,3.155035308368811,0.0018249419068973943,0.027374128603460914,0.010773774665478901,True,True
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.confusion,True,225,225,225,0.1497675168291769,0.15715502645205964,0.2955994621631248,0.30363654281212765,0.0073875096228827415,0.07943574532277457,-0.004541613319484491,0.019241531717417982,-0.052139484213032244,0.19342078994332496,1.1915361798416186,0.23470409671536877,1.0,0.4400701813413164,False,False
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.curiosity,True,225,225,225,0.1157586984570177,0.1019516702010555,0.23916333858151162,0.22099811668284228,-0.013807028255962198,-0.2129554240975653,-0.022410142654800437,-0.006546237540065104,-0.2740271940577693,-0.1591883270742381,-3.1943313614634796,0.0016032517221994521,0.02404877583299178,0.008162275114107474,True,True
baseline,residual,llama3_8b,gratitude,0.0,,,1.0,patched_vs_neutral,goemotions.desire,True,225,225,225,0.0052491832898845635,0.004746593864094596,0.01377444021500785,0.013668112219221876,-0.0005025894257899684,-0.18585202721507332,-0.000894592888470571,-0.00018634308012325281,-0.2591524381420604,-0.09405455934368905,-2.7877804082260997,0.005763005805417898,0.08644508708126847,0.03966138057895497,False,True
